review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
8f39f09c22b1ceb6e3eb178d8e50bb8a,432aaf21d85167c2c86ec9448c4e42cc,4,,Gostei do produto,2018-03-13 00:00:00,2018-03-14 10:36:16
e73b67b67587f7644d5bd1a52deb1b01,47770eb9100c2d0c44946d9cf07ec65d,5,,,2018-08-18 00:00:00,2018-08-22 19:07:58
764c587207b9589949abd863bdb72dec,1790eea0b567cf50911c057cf20f90f9,1,Enganadores,"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",2018-05-06 00:00:00,2018-05-08 23:47:22
346e42116863ea64d51cef464d8f0c9c,5ff96c15d0b717ac6ad1f3d77225a350,5,,,2018-07-31 00:00:00,2018-08-02 21:15:12
a932e1fddc0c17fc26de56687b48f922,34513ce0c4fab462a55830c0989c7edb,4,,,2017-07-20 00:00:00,2017-07-22 20:11:54
9a55cbc65c8fad47581da5ebbb2b373e,f3e7c359154d965827355f39d6b1fdac,5,Ótimo ,Sempre vou comprar aqui pois é a melhor parabéns ,2018-08-14 00:00:00,2018-08-14 21:52:46
b3b4ba30f4ff674b60b53cbb408ad037,434d158e96bdd6972ad6e6d73ddcfd22,5,Produto novo e original,"Produto veio bem lacrado, todo original.",2018-06-19 00:00:00,2018-06-20 00:49:10
219cf59cf889bc85babbd1cd1fe30f2d,83018ec114eee8641c97e08f7b4e926f,4,,,2017-11-09 00:00:00,2017-11-10 01:06:29
70c498f6918af37d6444d7846449ea5b,85ce859fd6dc634de8d2f1e290444043,5,,,2017-11-28 00:00:00,2017-11-28 22:12:02
6a1a8e54de03ab98e6e8ff56e56e507f,fbf9ac61453ac646ce8ad9783d7d0af6,2,,Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.,2018-03-16 00:00:00,2018-03-20 23:10:58
8d5266042046a06655c8db133d120ba5,53cdb2fc8bc7dce0b6741e2150273451,4,Muito boa a loja,Muito bom o produto.,2018-08-08 00:00:00,2018-08-08 18:37:50
5b1625e5b9843840ed3ab3f164eb5e3f,7206b86ea789983f7a273ea7fa0bc2a8,3,,,2018-04-06 00:00:00,2018-04-07 10:32:31
a54f0611adc9ed256b57ede6b6eb5114,e481f51cbdc54678b7cc49136f2d6af7,4,,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",2017-10-11 00:00:00,2017-10-12 03:43:48
0c00083494717bc36977eb15ba4bba01,116f0b09343b49556bbad5f35bee0cdf,5,,,2018-01-09 00:00:00,2018-01-12 01:09:35
07d67dd06ed5f88bef11ef6b464e79ae,6514b8ad8028c9f2cc2374ded245783f,5,,,2017-05-27 00:00:00,2017-05-28 02:59:57
2d4303fd561eb4ab51c87faa6598dc10,acce194856392f074dbf9dada14d8d82,1,NÃO RECOMENDO!!!! ,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",2018-06-17 00:00:00,2018-06-20 11:38:22
38cae21b1b57a95959440380d5b2ef7a,203096f03d82e0dffbc41ebc2e2bcfb7,2,,"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso.",2017-10-01 00:00:00,2017-10-01 17:55:21
e71c2035f3e772a0a2339e001d383d8f,b276e4f8c0fb86bd82fce576f21713e0,5,10,,2018-08-01 00:00:00,2018-08-04 02:05:33
e905f4e4e372b175115c1d6c878b5020,2807d0e504d6d4894d41672727bc139f,3,,,2018-02-09 00:00:00,2018-02-11 21:45:20
15898b543726a832d4137fbef5d1d00e,e6ce16cb79ec1d90b1da9085a6118aeb,1,,Aguardando retorno da loja,2017-05-30 00:00:00,2017-05-30 23:13:47
e50934924e227544ba8246aeb3770dd4,ad21c59c0840e6cb83a9ceb5573f8159,5,,,2018-02-17 00:00:00,2018-02-18 13:02:51
fc4af8aea8ec3f1a3cd181d3d0cadbd5,76c6e866289321a7c93b82b54852dc33,1,,,2017-02-03 00:00:00,2017-02-05 01:58:35
f121467a10eee0929f364c7d62abc9b5,8563039e855156e48fccee4d611a3196,5,,"há muito tempo efetuo compras atraves desta loja, nunca tive problemas. sempre entrega antes da data.",2018-03-20 00:00:00,2018-03-23 22:56:05
f3d78d82a38fc81f086b0d810edcf3aa,f848643eec1d69395095eb3840d2051e,5,,,2018-03-20 00:00:00,2018-03-20 14:35:09
2f111691fc93df88fc3aa8c2deac61ce,f70a0aff17df5a6cdd9a7196128bd354,2,,O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.,2017-08-19 00:00:00,2017-08-19 23:46:02
8a4283cd714cfca8f3da98f2c0afce0e,91b2a010e1e45e6ba3d133fa997597be,4,,,2018-05-17 00:00:00,2018-05-20 18:45:34
dc5cb78313de2f9c467da1f72302de04,60550084e6b4c0cb89a87df1f3e5ebd9,4,,bom pode comprar,2018-03-14 00:00:00,2018-03-16 00:52:33
3ee0f16b91a29ca331bbea4f4021b777,989225ba6d0ebd5873335f7e01de2ae7,4,,,2018-01-04 00:00:00,2018-01-11 15:41:05
57be0c4c29a5113d8344db898974b47b,d887b52c6516beb39e8cd44a5f8b60f7,5,,Ficou tudo ok só pensei q fosse maior mas.ta bom,2018-02-23 00:00:00,2018-02-25 11:39:37
67904467df350a66376e3a42fbe02139,dd78f560c270f1909639c11b925620ea,5,,"Lindos. 
Acabamento incrivel, muiro macios e super em conta.",2018-03-22 00:00:00,2018-03-25 02:36:39
abc5655186d40772bd6e410420e6a3ed,e69bfb5eb88e0ed6a785585b27e16dbf,5,,,2017-08-17 00:00:00,2017-08-18 01:47:32
359d03e676b3c069f62cadba8dd3f6e8,949d5b44dbf5de918fe9c16f97b45f8a,5,,O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,2017-12-03 00:00:00,2017-12-05 19:21:58
dfcc60a0a9bf7470d1acf910bc306e78,1e7aff52cdbb2451ace09d0f848c3699,5,,Quero o cartão de crédito das Lojas lannister! Minha satisfação é Plena! ,2017-06-01 00:00:00,2017-06-04 23:01:26
5a8608437f4b52bec5cd143f37258b5e,dcb36b511fcac050b97cd5c05de84dc3,5,Nota dez,Obrigado pela atenção. Lojas lannister perfeito em tudo.,2018-07-03 00:00:00,2018-07-03 15:10:07
0153550f6dd1a6bdfc334a919622abfb,ecab90c9933c58908d3d6add7c6f5ae3,4,,,2018-03-28 00:00:00,2018-03-29 16:38:11
1d507207ffd8c75b785304b33e2f6c59,95266dbfb7e20354baba07964dac78d5,4,,,2018-01-27 00:00:00,2018-01-28 11:42:31
d0d8cc7219984cfa3763c891edb27b0b,5acce57f8d9dfd55fa48e212a641a69d,5,,,2017-08-09 00:00:00,2017-08-10 14:50:36
ed220e853e96b629118a3576e02900b6,82566a660a982b15fb86e904c8d32918,5,,,2018-06-20 00:00:00,2018-06-20 15:31:29
89b738e70a1ce346db29a20fb2910161,a4591c265e18cb1dcee52889e2d8acc3,4,,,2017-07-27 00:00:00,2017-07-27 22:48:30
